,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
5014,0.359832636,0.4444444444,0.5423728814,0.59375,,0.4545,14655,19000,384,266,40.102441999999996,-82.988733,3,11.0,1.0,1,1,2,3,39,5529.0,0.3333,2,,,,,,,,,58848.36,2.99000000953674,0.1953,0.8047,26395.0,18900
5015,0.5480427046,0.5770609319,0.57,0.6607142857,,0.7931,7917,9833,437,342,41.672002,-81.324318,3,21.0,1.0,1,2,1,3,39,,,2,,,,,,,,,63348.13,2.84999990463256,0.0288,0.9712,18420.0,21200
5016,0.4349030471,0.4632152589,0.4647058824,0.5,,0.4965,9500,9500,436,335,44.969198,-122.96771499999998,8,22.0,1.0,1,1,1,3,41,,,3,,,,,,,,,55506.56,4.88000011444091,0.1511,0.8489,28911.0,25300
5017,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.9143,5505,PrivacySuppressed,68,PrivacySuppressed,41.7386,-75.9558,2,42.0,1.0,1,1,1,1,42,,,3,,,,,,,,,47873.4,2.67000007629394,0.1212,0.8788,9134.0,PrivacySuppressed
5018,,,,,0.0,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18.358258,-66.08511700000001,9,11.0,3.0,1,1,4,2,72,588.0,0.2903,1,,,,,,,,,22787.74,7.1100001335144,0.6034,0.3966,11203.0,17300
5019,,,,,,0.7532,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18.399112,-66.05190400000001,9,11.0,1.0,1,1,1,3,72,,,3,,,,,,,,,23984.09,6.69999980926513,0.5188,0.4812,9414.0,17400
5020,0.3548387097,0.3883495146,0.3966282165,0.4014900662,,0.405,9500,9500,1216,955,32.675369,-97.05498,6,21.0,1.0,1,1,2,3,48,4975.0,0.6286,2,,,,,,,,,64139.07,3.40000009536743,0.1295,0.8705,26064.0,28200
5021,0.5244956772,0.6089385475,0.6422535211,0.6654411765,,0.0734,5500,11000,892,264,30.047884999999997,-94.077126,6,12.0,2.0,1,1,2,1,48,5720.0,0.565,2,,,,,,,,,47322.3,4.44000005722045,0.5262,0.4738,15246.0,30600
5022,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.1875,9500,12500,95,55,32.65934,-96.877471,6,11.0,1.0,1,1,1,3,48,,,3,,,,,,,,,49458.89,5.19000005722045,0.0152,0.9848,18513.0,13100
5023,0.2571428571,0.3510204082,0.3201581028,0.4829268293,,0.6481,16500,20000,601,336,32.836068,-96.941822,6,12.0,1.0,1,1,1,3,48,,,2,,,,,,,,,64683.28,3.61999988555908,0.9406,0.0594,29608.0,31900
